"Kode";"Bezeichnung1";"Bezeichnung2";"Bezeichnung3";"Kapitel";"Version"
"A03";"Shigellose [Bakterielle Ruhr]";"Shigellose [Bakterielle Ruhr]";"";"1";"2015"
"A03.0";"Shigellose durch Shigella dysenteriae";"Shigellose [Bakterielle Ruhr]";"Shigellose durch Shigella dysenteriae";"1";"2015"
"A03.1";"Shigellose durch Shigella flexneri";"Shigellose [Bakterielle Ruhr]";"Shigellose durch Shigella flexneri";"1";"2015"
"A03.2";"Shigellose durch Shigella boydii";"Shigellose [Bakterielle Ruhr]";"Shigellose durch Shigella boydii";"1";"2015"
"A03.3";"Shigellose durch Shigella sonnei";"Shigellose [Bakterielle Ruhr]";"Shigellose durch Shigella sonnei";"1";"2015"
"A03.8";"Sonstige Shigellosen";"Shigellose [Bakterielle Ruhr]";"Sonstige Shigellosen";"1";"2015"
"A03.9";"Shigellose, nicht näher bezeichnet";"Shigellose [Bakterielle Ruhr]";"Shigellose, nicht näher bezeichnet";"1";"2015"
"A04";"Sonstige bakterielle Darminfektionen";"Sonstige bakterielle Darminfektionen";"";"1";"2015"
"A04.0";"Darminfektion durch enteropathogene Escherichia coli";"Sonstige bakterielle Darminfektionen";"Darminfektion durch enteropathogene Escherichia coli";"1";"2015"
"A04.1";"Darminfektion durch enterotoxinbildende Escherichia coli";"Sonstige bakterielle Darminfektionen";"Darminfektion durch enterotoxinbildende Escherichia coli";"1";"2015"
"A04.2";"Darminfektion durch enteroinvasive Escherichia coli";"Sonstige bakterielle Darminfektionen";"Darminfektion durch enteroinvasive Escherichia coli";"1";"2015"
"A04.3";"Darminfektion durch enterohämorrhagische Escherichia coli";"Sonstige bakterielle Darminfektionen";"Darminfektion durch enterohämorrhagische Escherichia coli";"1";"2015"
"A04.4";"Sonstige Darminfektionen durch Escherichia coli";"Sonstige bakterielle Darminfektionen";"Sonstige Darminfektionen durch Escherichia coli";"1";"2015"
"A04.5";"Enteritis durch Campylobacter";"Sonstige bakterielle Darminfektionen";"Enteritis durch Campylobacter";"1";"2015"
"A04.6";"Enteritis durch Yersinia enterocolitica";"Sonstige bakterielle Darminfektionen";"Enteritis durch Yersinia enterocolitica";"1";"2015"
"A04.7";"Enterokolitis durch Clostridium difficile";"Sonstige bakterielle Darminfektionen";"Enterokolitis durch Clostridium difficile";"1";"2015"
"A04.8";"Sonstige näher bezeichnete bakterielle Darminfektionen";"Sonstige bakterielle Darminfektionen";"Sonstige näher bezeichnete bakterielle Darminfektionen";"1";"2015"
"A04.9";"Bakterielle Darminfektion, nicht näher bezeichnet";"Sonstige bakterielle Darminfektionen";"Bakterielle Darminfektion, nicht näher bezeichnet";"1";"2015"
"A05";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"";"1";"2015"
"A05.0";"Lebensmittelvergiftung durch Staphylokokken";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Lebensmittelvergiftung durch Staphylokokken";"1";"2015"
"A05.1";"Botulismus";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Botulismus";"1";"2015"
"A05.2";"Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]";"1";"2015"
"A05.3";"Lebensmittelvergiftung durch Vibrio parahaemolyticus";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Lebensmittelvergiftung durch Vibrio parahaemolyticus";"1";"2015"
"A05.4";"Lebensmittelvergiftung durch Bacillus cereus";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Lebensmittelvergiftung durch Bacillus cereus";"1";"2015"
"A05.8";"Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen";"1";"2015"
"A05.9";"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet";"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert";"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet";"1";"2015"
"A06";"Amöbiasis";"Amöbiasis";"";"1";"2015"
"A06.0";"Akute Amöbenruhr";"Amöbiasis";"Akute Amöbenruhr";"1";"2015"
"A06.1";"Chronische intestinale Amöbiasis";"Amöbiasis";"Chronische intestinale Amöbiasis";"1";"2015"
"A06.2";"Nichtdysenterische Kolitis durch Amöben";"Amöbiasis";"Nichtdysenterische Kolitis durch Amöben";"1";"2015"
"A06.3";"Amöbom des Darmes";"Amöbiasis";"Amöbom des Darmes";"1";"2015"
"A06.4";"Leberabszess durch Amöben";"Amöbiasis";"Leberabszess durch Amöben";"1";"2015"
"A06.5";"Lungenabszess durch Amöben";"Amöbiasis";"Lungenabszess durch Amöben";"1";"2015"
"A06.6";"Hirnabszess durch Amöben";"Amöbiasis";"Hirnabszess durch Amöben";"1";"2015"
"A06.7";"Amöbiasis der Haut";"Amöbiasis";"Amöbiasis der Haut";"1";"2015"
"A06.8";"Amöbeninfektion an sonstigen Lokalisationen";"Amöbiasis";"Amöbeninfektion an sonstigen Lokalisationen";"1";"2015"
"A06.9";"Amöbiasis, nicht näher bezeichnet";"Amöbiasis";"Amöbiasis, nicht näher bezeichnet";"1";"2015"
"A07";"Sonstige Darmkrankheiten durch Protozoen";"Sonstige Darmkrankheiten durch Protozoen";"";"1";"2015"
"A07.0";"Balantidiose";"Sonstige Darmkrankheiten durch Protozoen";"Balantidiose";"1";"2015"
"A07.1";"Giardiasis [Lambliasis]";"Sonstige Darmkrankheiten durch Protozoen";"Giardiasis [Lambliasis]";"1";"2015"
"A07.2";"Kryptosporidiose";"Sonstige Darmkrankheiten durch Protozoen";"Kryptosporidiose";"1";"2015"
"A07.3";"Isosporose";"Sonstige Darmkrankheiten durch Protozoen";"Isosporose";"1";"2015"
"A07.8";"Sonstige näher bezeichnete Darmkrankheiten durch Protozoen";"Sonstige Darmkrankheiten durch Protozoen";"Sonstige näher bezeichnete Darmkrankheiten durch Protozoen";"1";"2015"
"A07.9";"Darmkrankheit durch Protozoen, nicht näher bezeichnet";"Sonstige Darmkrankheiten durch Protozoen";"Darmkrankheit durch Protozoen, nicht näher bezeichnet";"1";"2015"
"A08";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"";"1";"2015"
"A08.0";"Enteritis durch Rotaviren";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Enteritis durch Rotaviren";"1";"2015"
"A08.1";"Akute Gastroenteritis durch Norovirus [Norwalk-Virus]";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Akute Gastroenteritis durch Norovirus [Norwalk-Virus]";"1";"2015"
"A08.2";"Enteritis durch Adenoviren";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Enteritis durch Adenoviren";"1";"2015"
"A08.3";"Enteritis durch sonstige Viren";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Enteritis durch sonstige Viren";"1";"2015"
"A08.4";"Virusbedingte Darminfektion, nicht näher bezeichnet";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Virusbedingte Darminfektion, nicht näher bezeichnet";"1";"2015"
"A08.5";"Sonstige näher bezeichnete Darminfektionen";"Virusbedingte und sonstige näher bezeichnete Darminfektionen";"Sonstige näher bezeichnete Darminfektionen";"1";"2015"
"A09";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs";"";"1";"2015"
"A09.0";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs";"1";"2015"
"A09.9";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs";"Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs";"1";"2015"
"A15";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"";"1";"2015"
"A15.0";"Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren";"1";"2015"
"A15.1";"Lungentuberkulose, nur durch Kultur gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Lungentuberkulose, nur durch Kultur gesichert";"1";"2015"
"A15.2";"Lungentuberkulose, histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Lungentuberkulose, histologisch gesichert";"1";"2015"
"A15.3";"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert";"1";"2015"
"A15.4";"Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A15.5";"Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A15.6";"Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A15.7";"Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A15.8";"Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A15.9";"Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert";"1";"2015"
"A16";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"";"1";"2015"
"A16.0";"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"1";"2015"
"A16.1";"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt";"1";"2015"
"A16.2";"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.3";"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.4";"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.5";"Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.7";"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.8";"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A16.9";"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert";"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung";"1";"2015"
"A17";"Tuberkulose des Nervensystems";"Tuberkulose des Nervensystems";"";"1";"2015"
"A17.0";"Tuberkulöse Meningitis";"Tuberkulose des Nervensystems";"Tuberkulöse Meningitis";"1";"2015"
"A17.1";"Meningeales Tuberkulom";"Tuberkulose des Nervensystems";"Meningeales Tuberkulom";"1";"2015"
"A17.8";"Sonstige Tuberkulose des Nervensystems";"Tuberkulose des Nervensystems";"Sonstige Tuberkulose des Nervensystems";"1";"2015"
"A17.9";"Tuberkulose des Nervensystems, nicht näher bezeichnet";"Tuberkulose des Nervensystems";"Tuberkulose des Nervensystems, nicht näher bezeichnet";"1";"2015"
"A18";"Tuberkulose sonstiger Organe";"Tuberkulose sonstiger Organe";"";"1";"2015"
"A18.0";"Tuberkulose der Knochen und Gelenke";"Tuberkulose sonstiger Organe";"Tuberkulose der Knochen und Gelenke";"1";"2015"
"A18.1";"Tuberkulose des Urogenitalsystems";"Tuberkulose sonstiger Organe";"Tuberkulose des Urogenitalsystems";"1";"2015"
"A18.2";"Tuberkulose peripherer Lymphknoten";"Tuberkulose sonstiger Organe";"Tuberkulose peripherer Lymphknoten";"1";"2015"
"A18.3";"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten";"Tuberkulose sonstiger Organe";"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten";"1";"2015"
"A18.4";"Tuberkulose der Haut und des Unterhautgewebes";"Tuberkulose sonstiger Organe";"Tuberkulose der Haut und des Unterhautgewebes";"1";"2015"
"A18.5";"Tuberkulose des Auges";"Tuberkulose sonstiger Organe";"Tuberkulose des Auges";"1";"2015"
"A18.6";"Tuberkulose des Ohres";"Tuberkulose sonstiger Organe";"Tuberkulose des Ohres";"1";"2015"
"A18.7";"Tuberkulose der Nebennieren";"Tuberkulose sonstiger Organe";"Tuberkulose der Nebennieren";"1";"2015"
"A18.8";"Tuberkulose sonstiger näher bezeichneter Organe";"Tuberkulose sonstiger Organe";"Tuberkulose sonstiger näher bezeichneter Organe";"1";"2015"
"A19";"Miliartuberkulose";"Miliartuberkulose";"";"1";"2015"
"A19.0";"Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation";"Miliartuberkulose";"Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation";"1";"2015"
"A19.1";"Akute Miliartuberkulose mehrerer Lokalisationen";"Miliartuberkulose";"Akute Miliartuberkulose mehrerer Lokalisationen";"1";"2015"
"A19.2";"Akute Miliartuberkulose, nicht näher bezeichnet";"Miliartuberkulose";"Akute Miliartuberkulose, nicht näher bezeichnet";"1";"2015"
"A19.8";"Sonstige Miliartuberkulose";"Miliartuberkulose";"Sonstige Miliartuberkulose";"1";"2015"
"A19.9";"Miliartuberkulose, nicht näher bezeichnet";"Miliartuberkulose";"Miliartuberkulose, nicht näher bezeichnet";"1";"2015"
"A20";"Pest";"Pest";"";"1";"2015"
"A20.0";"Bubonenpest";"Pest";"Bubonenpest";"1";"2015"
"A20.1";"Hautpest";"Pest";"Hautpest";"1";"2015"
"A20.2";"Lungenpest";"Pest";"Lungenpest";"1";"2015"
"A20.3";"Pestmeningitis";"Pest";"Pestmeningitis";"1";"2015"
"A20.7";"Pestsepsis";"Pest";"Pestsepsis";"1";"2015"
"A20.8";"Sonstige Formen der Pest";"Pest";"Sonstige Formen der Pest";"1";"2015"
"A20.9";"Pest, nicht näher bezeichnet";"Pest";"Pest, nicht näher bezeichnet";"1";"2015"
"A21";"Tularämie";"Tularämie";"";"1";"2015"
"A21.0";"Ulzeroglanduläre Tularämie";"Tularämie";"Ulzeroglanduläre Tularämie";"1";"2015"
"A21.1";"Okuloglanduläre Tularämie";"Tularämie";"Okuloglanduläre Tularämie";"1";"2015"
"A21.2";"Pulmonale Tularämie";"Tularämie";"Pulmonale Tularämie";"1";"2015"
"A21.3";"Gastrointestinale Tularämie";"Tularämie";"Gastrointestinale Tularämie";"1";"2015"
"A21.7";"Generalisierte Tularämie";"Tularämie";"Generalisierte Tularämie";"1";"2015"
"A21.8";"Sonstige Formen der Tularämie";"Tularämie";"Sonstige Formen der Tularämie";"1";"2015"
"A21.9";"Tularämie, nicht näher bezeichnet";"Tularämie";"Tularämie, nicht näher bezeichnet";"1";"2015"
"A22";"Anthrax [Milzbrand]";"Anthrax [Milzbrand]";"";"1";"2015"
"A22.0";"Hautmilzbrand";"Anthrax [Milzbrand]";"Hautmilzbrand";"1";"2015"
"A22.1";"Lungenmilzbrand";"Anthrax [Milzbrand]";"Lungenmilzbrand";"1";"2015"
"A22.2";"Darmmilzbrand";"Anthrax [Milzbrand]";"Darmmilzbrand";"1";"2015"
"A22.7";"Milzbrandsepsis";"Anthrax [Milzbrand]";"Milzbrandsepsis";"1";"2015"
"A22.8";"Sonstige Formen des Milzbrandes";"Anthrax [Milzbrand]";"Sonstige Formen des Milzbrandes";"1";"2015"
"A22.9";"Milzbrand, nicht näher bezeichnet";"Anthrax [Milzbrand]";"Milzbrand, nicht näher bezeichnet";"1";"2015"
"A23";"Brucellose";"Brucellose";"";"1";"2015"
"A23.0";"Brucellose durch Brucella melitensis";"Brucellose";"Brucellose durch Brucella melitensis";"1";"2015"
"A23.1";"Brucellose durch Brucella abortus";"Brucellose";"Brucellose durch Brucella abortus";"1";"2015"
"A23.2";"Brucellose durch Brucella suis";"Brucellose";"Brucellose durch Brucella suis";"1";"2015"
"A23.3";"Brucellose durch Brucella canis";"Brucellose";"Brucellose durch Brucella canis";"1";"2015"
"A23.8";"Sonstige Brucellose";"Brucellose";"Sonstige Brucellose";"1";"2015"
"A23.9";"Brucellose, nicht näher bezeichnet";"Brucellose";"Brucellose, nicht näher bezeichnet";"1";"2015"
"A24";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Rotz [Malleus] und Melioidose [Pseudorotz]";"";"1";"2015"
"A24.0";"Rotz";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Rotz";"1";"2015"
"A24.1";"Akute oder fulminante Melioidose";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Akute oder fulminante Melioidose";"1";"2015"
"A24.2";"Subakute oder chronische Melioidose";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Subakute oder chronische Melioidose";"1";"2015"
"A24.3";"Sonstige Melioidose";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Sonstige Melioidose";"1";"2015"
"A24.4";"Melioidose, nicht näher bezeichnet";"Rotz [Malleus] und Melioidose [Pseudorotz]";"Melioidose, nicht näher bezeichnet";"1";"2015"
"A25";"Rattenbisskrankheiten";"Rattenbisskrankheiten";"";"1";"2015"
"A25.0";"Spirillen-Rattenbisskrankheit";"Rattenbisskrankheiten";"Spirillen-Rattenbisskrankheit";"1";"2015"
"A25.1";"Streptobazillen-Rattenbisskrankheit";"Rattenbisskrankheiten";"Streptobazillen-Rattenbisskrankheit";"1";"2015"
"A25.9";"Rattenbisskrankheit, nicht näher bezeichnet";"Rattenbisskrankheiten";"Rattenbisskrankheit, nicht näher bezeichnet";"1";"2015"
"A26";"Erysipeloid";"Erysipeloid";"";"1";"2015"
"A26.0";"Haut-Erysipeloid";"Erysipeloid";"Haut-Erysipeloid";"1";"2015"
"A26.7";"Erysipelothrix-Sepsis";"Erysipeloid";"Erysipelothrix-Sepsis";"1";"2015"
"A26.8";"Sonstige Formen des Erysipeloids";"Erysipeloid";"Sonstige Formen des Erysipeloids";"1";"2015"
"A26.9";"Erysipeloid, nicht näher bezeichnet";"Erysipeloid";"Erysipeloid, nicht näher bezeichnet";"1";"2015"
"A27";"Leptospirose";"Leptospirose";"";"1";"2015"
"A27.0";"Leptospirosis icterohaemorrhagica [Weil-Krankheit]";"Leptospirose";"Leptospirosis icterohaemorrhagica [Weil-Krankheit]";"1";"2015"
"A27.8";"Sonstige Formen der Leptospirose";"Leptospirose";"Sonstige Formen der Leptospirose";"1";"2015"
"A27.9";"Leptospirose, nicht näher bezeichnet";"Leptospirose";"Leptospirose, nicht näher bezeichnet";"1";"2015"
"A28";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"";"1";"2015"
"A28.0";"Pasteurellose";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Pasteurellose";"1";"2015"
"A28.1";"Katzenkratzkrankheit";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Katzenkratzkrankheit";"1";"2015"
"A28.2";"Extraintestinale Yersiniose";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Extraintestinale Yersiniose";"1";"2015"
"A28.8";"Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert";"1";"2015"
"A28.9";"Bakterielle Zoonose, nicht näher bezeichnet";"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert";"Bakterielle Zoonose, nicht näher bezeichnet";"1";"2015"
"A30";"Lepra [Aussatz]";"Lepra [Aussatz]";"";"1";"2015"
"A30.0";"Indeterminierte Lepra";"Lepra [Aussatz]";"Indeterminierte Lepra";"1";"2015"
"A30.1";"Tuberkuloide Lepra";"Lepra [Aussatz]";"Tuberkuloide Lepra";"1";"2015"
"A30.2";"Borderline-tuberkuloide Lepra";"Lepra [Aussatz]";"Borderline-tuberkuloide Lepra";"1";"2015"
"A30.3";"Borderline-Lepra";"Lepra [Aussatz]";"Borderline-Lepra";"1";"2015"
"A30.4";"Borderline-lepromatöse Lepra";"Lepra [Aussatz]";"Borderline-lepromatöse Lepra";"1";"2015"
"A30.5";"Lepromatöse Lepra";"Lepra [Aussatz]";"Lepromatöse Lepra";"1";"2015"
"A30.8";"Sonstige Formen der Lepra";"Lepra [Aussatz]";"Sonstige Formen der Lepra";"1";"2015"
"A30.9";"Lepra, nicht näher bezeichnet";"Lepra [Aussatz]";"Lepra, nicht näher bezeichnet";"1";"2015"
"A31";"Infektion durch sonstige Mykobakterien";"Infektion durch sonstige Mykobakterien";"";"1";"2015"
"A31.0";"Infektion der Lunge durch sonstige Mykobakterien";"Infektion durch sonstige Mykobakterien";"Infektion der Lunge durch sonstige Mykobakterien";"1";"2015"
"A31.1";"Infektion der Haut durch sonstige Mykobakterien";"Infektion durch sonstige Mykobakterien";"Infektion der Haut durch sonstige Mykobakterien";"1";"2015"
"A31.8";"Sonstige Infektionen durch Mykobakterien";"Infektion durch sonstige Mykobakterien";"Sonstige Infektionen durch Mykobakterien";"1";"2015"
